pid,top,bot,sand,bd,pH,soc
MW_lrep_MW122,10,15,NA,NA,NA,NA
MW_lrep_MW122,15,25,NA,NA,NA,NA
MW_lrep_MW123,0,40,NA,NA,NA,NA
MW_lrep_MW123,40,80,NA,NA,NA,NA
MW_lrep_MW123,80,90,NA,NA,NA,NA
MW_lrep_MW124,0,10,NA,NA,NA,NA
MW_lrep_MW124,10,35,NA,NA,NA,NA
MW_lrep_MW124,35,60,NA,NA,NA,NA
MW_lrep_MW124,60,120,NA,NA,NA,NA
MW_lrep_MW125,0,10,NA,NA,NA,NA
MW_lrep_MW125,10,30,NA,NA,NA,NA
MW_lrep_MW125,30,50,NA,NA,NA,NA
MW_lrep_MW125,50,120,NA,NA,NA,NA
MW_lrep_MW126,0,15,NA,NA,NA,NA
MW_lrep_MW126,15,50,NA,NA,NA,NA
MW_lrep_MW126,50,90,NA,NA,NA,NA
MW_lrep_MW127,0,10,NA,NA,NA,NA
MW_lrep_MW127,10,40,NA,NA,NA,NA
MW_lrep_MW127,40,120,NA,NA,NA,NA
MW_lrep_MW128,0,5,NA,NA,NA,NA
MW_lrep_MW128,5,30,NA,NA,NA,NA
MW_lrep_MW128,30,120,NA,NA,NA,NA
MW_lrep_MW129,0,20,NA,NA,6.3,9.1
MW_lrep_MW129,20,60,NA,NA,5.9,1.5
MW_lrep_MW129,60,80,NA,NA,4.6,NA
MW_lrep_MW129,80,180,NA,NA,NA,NA
MW_lrep_MW13,0,40,NA,NA,NA,NA
MW_lrep_MW13,40,50,NA,NA,NA,NA
MW_lrep_MW130,0,90,NA,NA,NA,NA
MW_lrep_MW130,90,120,NA,NA,NA,NA
MW_lrep_MW131,0,10,NA,NA,NA,NA
MW_lrep_MW131,10,60,NA,NA,NA,NA
MW_lrep_MW131,60,90,NA,NA,NA,NA
MW_lrep_MW131,90,120,NA,NA,NA,NA
MW_lrep_MW132,0,10,NA,NA,4.3,2.9
MW_lrep_MW132,10,40,NA,NA,4.6,1.4
MW_lrep_MW132,40,80,NA,NA,4.6,NA
MW_lrep_MW132,80,120,NA,NA,4.6,NA
MW_lrep_MW133,0,20,NA,NA,NA,NA
MW_lrep_MW133,20,120,NA,NA,NA,NA
MW_lrep_MW134,0,20,NA,NA,NA,NA
MW_lrep_MW134,20,80,NA,NA,NA,NA
MW_lrep_MW134,80,120,NA,NA,NA,NA
MW_lrep_MW135,0,15,NA,NA,NA,NA
MW_lrep_MW135,15,40,NA,NA,NA,NA
MW_lrep_MW135,40,120,NA,NA,NA,NA
MW_lrep_MW136,0,70,NA,NA,NA,NA
MW_lrep_MW136,70,110,NA,NA,NA,NA
MW_lrep_MW136,110,120,NA,NA,NA,NA
MW_lrep_MW137,0,5,NA,NA,NA,NA
MW_lrep_MW137,5,50,NA,NA,NA,NA
MW_lrep_MW137,50,100,NA,NA,NA,NA
MW_lrep_MW137,100,110,NA,NA,NA,NA
MW_lrep_MW138,0,30,NA,NA,NA,NA
MW_lrep_MW138,30,100,NA,NA,NA,NA
MW_lrep_MW138,100,120,NA,NA,NA,NA
MW_lrep_MW139,0,15,NA,NA,NA,NA
MW_lrep_MW139,15,80,NA,NA,NA,NA
MW_lrep_MW139,80,90,NA,NA,NA,NA
MW_lrep_MW14,0,30,NA,NA,NA,NA
MW_lrep_MW14,30,140,NA,NA,NA,NA
MW_lrep_MW14,140,150,NA,NA,NA,NA
MW_lrep_MW140,0,20,NA,NA,NA,NA
MW_lrep_MW140,20,40,NA,NA,NA,NA
MW_lrep_MW140,40,120,NA,NA,NA,NA
MW_lrep_MW141,0,15,NA,NA,NA,NA
MW_lrep_MW141,15,50,NA,NA,NA,NA
MW_lrep_MW141,50,120,NA,NA,NA,NA
MW_lrep_MW15,0,30,NA,NA,NA,NA
MW_lrep_MW15,30,50,NA,NA,NA,NA
MW_lrep_MW15,50,60,NA,NA,NA,NA
MW_lrep_MW15,60,70,NA,NA,NA,NA
MW_lrep_MW150,0,10,NA,NA,NA,NA
MW_lrep_MW150,10,40,NA,NA,NA,NA
MW_lrep_MW150,40,150,NA,NA,NA,NA
MW_lrep_MW151,0,15,NA,NA,NA,NA
MW_lrep_MW151,15,30,NA,NA,NA,NA
MW_lrep_MW151,30,45,NA,NA,NA,NA
MW_lrep_MW152,0,15,NA,NA,NA,NA
MW_lrep_MW152,15,30,NA,NA,NA,NA
MW_lrep_MW152,30,45,NA,NA,NA,NA
MW_lrep_MW153,0,15,NA,NA,NA,NA
MW_lrep_MW153,15,30,NA,NA,NA,NA
MW_lrep_MW153,30,45,NA,NA,NA,NA
MW_lrep_MW153,45,55,NA,NA,NA,NA
MW_lrep_MW153,50,60,NA,NA,NA,NA
MW_lrep_MW154,0,15,NA,NA,NA,NA
MW_lrep_MW154,15,30,NA,NA,NA,NA
MW_lrep_MW154,30,90,NA,NA,NA,NA
MW_lrep_MW154,90,105,NA,NA,NA,NA
MW_lrep_MW155,0,15,NA,NA,NA,NA
MW_lrep_MW155,15,40,NA,NA,NA,NA
MW_lrep_MW155,40,105,NA,NA,NA,NA
MW_lrep_MW155,105,115,NA,NA,NA,NA
MW_lrep_MW156,0,15,NA,NA,NA,NA
MW_lrep_MW156,15,60,NA,NA,NA,NA
MW_lrep_MW156,60,110,NA,NA,NA,NA
MW_lrep_MW157,0,30,NA,NA,NA,NA
MW_lrep_MW157,30,60,NA,NA,NA,NA
MW_lrep_MW157,60,105,NA,NA,NA,NA
MW_lrep_MW158,0,30,NA,NA,NA,NA
MW_lrep_MW158,30,60,NA,NA,NA,NA
MW_lrep_MW158,60,100,NA,NA,NA,NA
MW_lrep_MW159,0,30,NA,NA,NA,NA
MW_lrep_MW159,30,60,NA,NA,NA,NA
MW_lrep_MW159,60,75,NA,NA,NA,NA
MW_lrep_MW16,0,20,NA,NA,NA,NA
MW_lrep_MW16,20,50,NA,NA,NA,NA
MW_lrep_MW16,50,80,NA,NA,NA,NA
MW_lrep_MW16,80,90,NA,NA,NA,NA
MW_lrep_MW160,0,30,NA,NA,NA,NA
MW_lrep_MW160,30,50,NA,NA,NA,NA
MW_lrep_MW160,50,60,NA,NA,NA,NA
MW_lrep_MW161,0,30,NA,NA,NA,NA
MW_lrep_MW161,30,100,NA,NA,NA,NA
MW_lrep_MW162,0,30,NA,NA,NA,NA
MW_lrep_MW162,30,50,NA,NA,NA,NA
MW_lrep_MW163,0,45,NA,NA,NA,NA
MW_lrep_MW163,45,90,NA,NA,NA,NA
MW_lrep_MW163,90,105,NA,NA,NA,NA
MW_lrep_MW164,0,45,NA,NA,NA,NA
MW_lrep_MW164,45,75,NA,NA,NA,NA
MW_lrep_MW164,75,105,NA,NA,NA,NA
MW_lrep_MW165,0,30,NA,NA,NA,NA
MW_lrep_MW165,30,60,NA,NA,NA,NA
MW_lrep_MW165,60,105,NA,NA,NA,NA
MW_lrep_MW166,0,30,NA,NA,NA,NA
MW_lrep_MW166,30,60,NA,NA,NA,NA
MW_lrep_MW166,60,70,NA,NA,NA,NA
MW_lrep_MW167,0,30,NA,NA,NA,NA
MW_lrep_MW167,30,60,NA,NA,NA,NA
MW_lrep_MW167,60,105,NA,NA,NA,NA
MW_lrep_MW168,0,45,NA,NA,NA,NA
MW_lrep_MW168,45,75,NA,NA,NA,NA
MW_lrep_MW168,75,105,NA,NA,NA,NA
MW_lrep_MW169,0,30,NA,NA,NA,NA
MW_lrep_MW169,30,60,NA,NA,NA,NA
MW_lrep_MW169,60,105,NA,NA,NA,NA
MW_lrep_MW17,0,20,81,NA,6.7,5.3
MW_lrep_MW17,20,30,60,NA,7,5.1
MW_lrep_MW17,30,60,81,NA,6.8,NA
MW_lrep_MW17,60,70,NA,NA,NA,NA
MW_lrep_MW170,0,30,NA,NA,NA,NA
MW_lrep_MW170,30,60,NA,NA,NA,NA
MW_lrep_MW170,60,105,NA,NA,NA,NA
MW_lrep_MW171,0,30,NA,NA,NA,NA
MW_lrep_MW171,30,60,NA,NA,NA,NA
MW_lrep_MW171,60,105,NA,NA,NA,NA
MW_lrep_MW172,0,30,NA,NA,NA,NA
MW_lrep_MW172,30,60,NA,NA,NA,NA
MW_lrep_MW172,60,105,NA,NA,NA,NA
MW_lrep_MW173,0,30,NA,NA,NA,NA
MW_lrep_MW173,30,60,NA,NA,NA,NA
MW_lrep_MW173,60,105,NA,NA,NA,NA
MW_lrep_MW174,0,45,NA,NA,NA,NA
MW_lrep_MW174,45,75,NA,NA,NA,NA
MW_lrep_MW174,75,105,NA,NA,NA,NA
MW_lrep_MW175,0,45,NA,NA,NA,NA
MW_lrep_MW175,45,75,NA,NA,NA,NA
MW_lrep_MW175,75,105,NA,NA,NA,NA
MW_lrep_MW176,0,30,NA,NA,NA,NA
MW_lrep_MW176,30,60,NA,NA,NA,NA
MW_lrep_MW176,60,75,NA,NA,NA,NA
MW_lrep_MW177,0,45,NA,NA,NA,NA
MW_lrep_MW177,45,75,NA,NA,NA,NA
MW_lrep_MW177,75,105,NA,NA,NA,NA
MW_lrep_MW178,0,30,NA,NA,NA,NA
MW_lrep_MW178,30,75,NA,NA,NA,NA
MW_lrep_MW178,75,85,NA,NA,NA,NA
MW_lrep_MW179,0,30,NA,NA,NA,NA
MW_lrep_MW179,30,50,NA,NA,NA,NA
MW_lrep_MW179,50,100,NA,NA,NA,NA
MW_lrep_MW179,100,120,NA,NA,NA,NA
MW_lrep_MW18,0,10,NA,NA,NA,NA
MW_lrep_MW18,10,20,NA,NA,NA,NA
MW_lrep_MW18,20,60,NA,NA,NA,NA
MW_lrep_MW18,60,150,NA,NA,NA,NA
MW_lrep_MW180,0,20,NA,NA,NA,NA
MW_lrep_MW180,20,50,NA,NA,NA,NA
MW_lrep_MW180,50,100,NA,NA,NA,NA
MW_lrep_MW181,0,20,NA,NA,NA,NA
MW_lrep_MW181,20,50,NA,NA,NA,NA
MW_lrep_MW181,50,120,NA,NA,NA,NA
MW_lrep_MW182,0,30,NA,NA,NA,NA
MW_lrep_MW182,30,75,NA,NA,NA,NA
MW_lrep_MW182,75,105,NA,NA,NA,NA
MW_lrep_MW183,0,20,NA,NA,NA,NA
MW_lrep_MW183,20,50,NA,NA,NA,NA
MW_lrep_MW183,50,105,NA,NA,NA,NA
MW_lrep_MW184,0,50,NA,NA,NA,NA
MW_lrep_MW184,50,75,NA,NA,NA,NA
MW_lrep_MW184,75,105,NA,NA,NA,NA
MW_lrep_MW185,0,30,NA,NA,NA,NA
MW_lrep_MW185,30,45,NA,NA,NA,NA
MW_lrep_MW185,45,105,NA,NA,NA,NA
MW_lrep_MW186,0,40,NA,NA,NA,NA
MW_lrep_MW186,40,50,NA,NA,NA,NA
MW_lrep_MW186,50,60,NA,NA,NA,NA
MW_lrep_MW187,0,30,NA,NA,NA,NA
MW_lrep_MW187,30,50,NA,NA,NA,NA
MW_lrep_MW187,50,80,NA,NA,NA,NA
MW_lrep_MW188,0,30,NA,NA,NA,NA
MW_lrep_MW188,30,60,NA,NA,NA,NA
MW_lrep_MW188,60,110,NA,NA,NA,NA
MW_lrep_MW189,0,40,NA,NA,NA,NA
MW_lrep_MW189,40,70,NA,NA,NA,NA
MW_lrep_MW189,70,120,NA,NA,NA,NA
MW_lrep_MW19,0,2,NA,NA,NA,NA
MW_lrep_MW19,2,8,NA,NA,NA,NA
MW_lrep_MW19,8,20,NA,NA,NA,NA
MW_lrep_MW19,20,30,NA,NA,NA,NA
MW_lrep_MW19,30,70,NA,NA,NA,NA
MW_lrep_MW19,70,75,NA,NA,NA,NA
MW_lrep_MW19,75,110,NA,NA,NA,NA
MW_lrep_MW19,110,150,NA,NA,NA,NA
MW_lrep_MW190,0,45,NA,NA,NA,NA
MW_lrep_MW190,45,50,NA,NA,NA,NA
MW_lrep_MW190,50,60,NA,NA,NA,NA
MW_lrep_MW191,0,30,NA,NA,NA,NA
MW_lrep_MW191,30,60,NA,NA,NA,NA
MW_lrep_MW191,60,90,NA,NA,NA,NA
MW_lrep_MW191,90,120,NA,NA,NA,NA
MW_lrep_MW192,0,30,NA,NA,NA,NA
MW_lrep_MW192,30,45,NA,NA,NA,NA
MW_lrep_MW192,45,60,NA,NA,NA,NA
MW_lrep_MW192,60,70,NA,NA,NA,NA
MW_lrep_MW193,0,20,NA,NA,NA,NA
MW_lrep_MW193,20,30,NA,NA,NA,NA
MW_lrep_MW193,30,45,NA,NA,NA,NA
MW_lrep_MW194,0,25,81,NA,7.1,6.9
MW_lrep_MW194,25,30,85,NA,7.3,9.9
MW_lrep_MW194,30,45,89,NA,7.6,5.4
MW_lrep_MW194,45,57,81,NA,7.8,NA
MW_lrep_MW194,57,68,85,NA,7.8,NA
MW_lrep_MW194,68,160,65,NA,8.1,NA
MW_lrep_MW195,0,10,NA,NA,NA,NA
MW_lrep_MW195,10,26,NA,NA,NA,NA
MW_lrep_MW195,26,60,NA,NA,NA,NA
MW_lrep_MW195,60,130,NA,NA,NA,NA
MW_lrep_MW196,0,10,84,NA,6.4,3.2
MW_lrep_MW196,10,20,73,NA,7.1,4.8
MW_lrep_MW196,20,35,68,NA,7.1,2.3
MW_lrep_MW196,35,130,63,NA,6.6,6.3
MW_lrep_MW197,0,10,83,NA,6.3,3.4
MW_lrep_MW197,10,65,85,NA,7.2,1.2
MW_lrep_MW197,65,140,78,NA,7.2,2.7
MW_lrep_MW198,0,36,NA,NA,NA,NA
MW_lrep_MW198,36,53,NA,NA,NA,NA
MW_lrep_MW198,53,130,NA,NA,NA,NA
MW_lrep_MW199,0,100,NA,NA,NA,NA
MW_lrep_MW199,100,150,NA,NA,NA,NA
MW_lrep_MW2,0,10,NA,NA,NA,NA
MW_lrep_MW2,10,25,NA,NA,NA,NA
MW_lrep_MW2,25,35,NA,NA,NA,NA
MW_lrep_MW2,35,50,NA,NA,NA,NA
MW_lrep_MW2,50,120,NA,NA,NA,NA
MW_lrep_MW2,120,200,NA,NA,NA,NA
MW_lrep_MW20,0,30,84,NA,6.8,12.2
MW_lrep_MW20,30,90,85,NA,6.8,4.6
MW_lrep_MW20,90,120,80,NA,6.7,NA
MW_lrep_MW200,0,30,NA,NA,NA,NA
MW_lrep_MW200,30,50,NA,NA,NA,NA
MW_lrep_MW200,50,80,NA,NA,NA,NA
MW_lrep_MW201,0,60,NA,NA,NA,NA
MW_lrep_MW201,60,90,NA,NA,NA,NA
MW_lrep_MW202,0,30,NA,NA,NA,NA
MW_lrep_MW202,30,60,NA,NA,NA,NA
MW_lrep_MW202,60,80,NA,NA,NA,NA
MW_lrep_MW203,0,30,NA,NA,NA,NA
MW_lrep_MW203,30,60,NA,NA,NA,NA
MW_lrep_MW203,60,105,NA,NA,NA,NA
MW_lrep_MW204,0,10,NA,NA,NA,NA
MW_lrep_MW204,10,25,NA,NA,NA,NA
MW_lrep_MW205,0,10,NA,NA,NA,NA
MW_lrep_MW205,10,25,NA,NA,NA,NA
MW_lrep_MW206,0,20,NA,NA,NA,NA
MW_lrep_MW206,20,50,NA,NA,NA,NA
MW_lrep_MW206,50,80,NA,NA,NA,NA
MW_lrep_MW207,0,30,NA,NA,NA,NA
MW_lrep_MW207,30,60,NA,NA,NA,NA
MW_lrep_MW207,60,105,NA,NA,NA,NA
MW_lrep_MW208,0,30,NA,NA,NA,NA
MW_lrep_MW208,30,50,NA,NA,NA,NA
MW_lrep_MW208,50,80,NA,NA,NA,NA
MW_lrep_MW208,80,120,NA,NA,NA,NA
MW_lrep_MW209,0,15,NA,NA,NA,NA
MW_lrep_MW209,15,30,NA,NA,NA,NA
MW_lrep_MW21,0,20,NA,NA,NA,NA
MW_lrep_MW21,20,50,NA,NA,NA,NA
MW_lrep_MW21,50,70,NA,NA,NA,NA
MW_lrep_MW21,70,80,NA,NA,NA,NA
MW_lrep_MW210,0,5,92,NA,7.2,6
MW_lrep_MW210,5,30,85,NA,6.4,6.3
MW_lrep_MW210,30,35,78,NA,6.2,1.8
MW_lrep_MW210,35,130,71,NA,6.5,2.7
MW_lrep_MW211,0,26,87,NA,6.1,2.5
MW_lrep_MW211,26,50,87,NA,6.2,4.5
MW_lrep_MW211,50,140,NA,NA,NA,NA
MW_lrep_MW213,0,30,NA,NA,NA,NA
MW_lrep_MW213,30,120,NA,NA,NA,NA
MW_lrep_MW214,0,30,NA,NA,NA,NA
MW_lrep_MW214,30,60,NA,NA,NA,NA
MW_lrep_MW214,60,100,NA,NA,NA,NA
MW_lrep_MW215,0,45,NA,NA,NA,NA
MW_lrep_MW215,45,105,NA,NA,NA,NA
MW_lrep_MW215,105,120,NA,NA,NA,NA
MW_lrep_MW216,0,30,NA,NA,NA,NA
MW_lrep_MW216,30,50,NA,NA,NA,NA
MW_lrep_MW216,50,60,NA,NA,NA,NA
MW_lrep_MW217,0,30,NA,NA,NA,NA
MW_lrep_MW217,30,60,NA,NA,NA,NA
MW_lrep_MW217,60,120,NA,NA,NA,NA
MW_lrep_MW218,0,30,NA,NA,NA,NA
MW_lrep_MW218,30,60,NA,NA,NA,NA
MW_lrep_MW218,60,120,NA,NA,NA,NA
MW_lrep_MW219,0,15,NA,NA,NA,NA
MW_lrep_MW219,15,30,NA,NA,NA,NA
MW_lrep_MW219,30,90,NA,NA,NA,NA
MW_lrep_MW22,0,25,NA,NA,NA,NA
MW_lrep_MW22,25,60,NA,NA,NA,NA
MW_lrep_MW22,60,85,NA,NA,NA,NA
MW_lrep_MW22,85,95,NA,NA,NA,NA
MW_lrep_MW220,0,20,NA,NA,NA,NA
MW_lrep_MW220,20,35,NA,NA,NA,NA
MW_lrep_MW220,35,60,NA,NA,NA,NA
MW_lrep_MW220,60,120,NA,NA,NA,NA
MW_lrep_MW221,0,30,NA,NA,NA,NA
MW_lrep_MW221,30,50,NA,NA,NA,NA
MW_lrep_MW221,50,140,73,NA,6.7,NA
MW_lrep_MW222,0,15,NA,NA,NA,NA
MW_lrep_MW222,15,35,NA,NA,NA,NA
MW_lrep_MW222,35,75,NA,NA,NA,NA
MW_lrep_MW223,0,5,NA,NA,NA,NA
MW_lrep_MW223,5,30,NA,NA,NA,NA
MW_lrep_MW223,30,150,NA,NA,NA,NA
MW_lrep_MW224,0,30,NA,NA,NA,NA
MW_lrep_MW224,30,60,NA,NA,NA,NA
MW_lrep_MW224,60,90,NA,NA,NA,NA
MW_lrep_MW225,0,30,NA,NA,NA,NA
MW_lrep_MW225,30,70,NA,NA,NA,NA
MW_lrep_MW225,70,90,NA,NA,NA,NA
MW_lrep_MW226,0,10,NA,NA,NA,NA
MW_lrep_MW226,10,55,NA,NA,NA,NA
MW_lrep_MW226,55,130,NA,NA,NA,NA
MW_lrep_MW227,0,55,NA,NA,NA,NA
MW_lrep_MW227,55,140,NA,NA,NA,NA
MW_lrep_MW228,0,30,NA,NA,NA,NA
MW_lrep_MW228,30,60,NA,NA,NA,NA
MW_lrep_MW228,60,120,NA,NA,NA,NA
MW_lrep_MW229,0,15,NA,NA,NA,NA
MW_lrep_MW229,15,45,NA,NA,NA,NA
MW_lrep_MW229,45,55,NA,NA,NA,NA
MW_lrep_MW23,0,120,NA,NA,NA,NA
MW_lrep_MW23,120,130,NA,NA,NA,NA
MW_lrep_MW230,0,30,NA,NA,NA,NA
MW_lrep_MW230,30,60,NA,NA,NA,NA
MW_lrep_MW230,60,105,NA,NA,NA,NA
MW_lrep_MW231,0,15,NA,NA,NA,NA
MW_lrep_MW231,15,30,NA,NA,NA,NA
MW_lrep_MW231,30,75,NA,NA,NA,NA
MW_lrep_MW231,75,90,NA,NA,NA,NA
MW_lrep_MW231,90,105,NA,NA,NA,NA
MW_lrep_MW232,0,90,NA,NA,NA,NA
MW_lrep_MW232,90,120,NA,NA,NA,NA
MW_lrep_MW232,120,135,NA,NA,NA,NA
MW_lrep_MW232,135,160,NA,NA,NA,NA
MW_lrep_MW232,160,170,NA,NA,NA,NA
MW_lrep_MW233,0,30,NA,NA,NA,NA
MW_lrep_MW233,30,70,NA,NA,NA,NA
MW_lrep_MW233,70,120,NA,NA,NA,NA
MW_lrep_MW234,0,15,NA,NA,NA,NA
MW_lrep_MW234,15,25,NA,NA,NA,NA
MW_lrep_MW234,25,45,NA,NA,NA,NA
MW_lrep_MW234,45,55,NA,NA,NA,NA
MW_lrep_MW235,0,30,NA,NA,NA,NA
MW_lrep_MW235,30,45,NA,NA,NA,NA
MW_lrep_MW235,45,55,NA,NA,NA,NA
MW_lrep_MW236,0,15,NA,NA,NA,NA
MW_lrep_MW236,15,50,NA,NA,NA,NA
MW_lrep_MW236,50,60,NA,NA,NA,NA
MW_lrep_MW237,0,25,NA,NA,NA,NA
MW_lrep_MW237,25,43,NA,NA,NA,NA
MW_lrep_MW237,43,80,NA,NA,NA,NA
MW_lrep_MW237,80,90,NA,NA,NA,NA
MW_lrep_MW238,0,15,72,NA,6.6,0.6
MW_lrep_MW238,15,30,78,NA,7.2,7.8
MW_lrep_MW238,30,45,80,NA,7.4,6
MW_lrep_MW238,45,100,NA,NA,NA,NA
MW_lrep_MW239,0,27,NA,NA,NA,NA
MW_lrep_MW239,27,37,NA,NA,NA,NA
MW_lrep_MW24,0,15,NA,NA,NA,NA
MW_lrep_MW24,15,40,NA,NA,NA,NA
MW_lrep_MW24,40,120,NA,NA,NA,NA
MW_lrep_MW240,0,25,NA,NA,NA,NA
MW_lrep_MW240,25,40,NA,NA,NA,NA
MW_lrep_MW240,40,80,NA,NA,NA,NA
MW_lrep_MW240,80,110,NA,NA,NA,NA
MW_lrep_MW241,0,7,79,NA,7.3,13.8
MW_lrep_MW241,7,21,84,NA,7.4,6.9
MW_lrep_MW241,21,35,79,NA,7.5,6.6
MW_lrep_MW241,35,120,79,NA,8.2,5.7
MW_lrep_MW242,0,30,NA,NA,NA,NA
MW_lrep_MW242,30,45,NA,NA,NA,NA
MW_lrep_MW242,45,55,NA,NA,NA,NA
MW_lrep_MW243,0,15,NA,NA,NA,NA
MW_lrep_MW243,15,30,NA,NA,NA,NA
MW_lrep_MW243,30,70,NA,NA,NA,NA
MW_lrep_MW243,70,90,NA,NA,NA,NA
MW_lrep_MW244,0,15,NA,NA,NA,NA
MW_lrep_MW244,15,45,NA,NA,NA,NA
MW_lrep_MW244,45,85,NA,NA,NA,NA
MW_lrep_MW244,85,120,NA,NA,NA,NA
MW_lrep_MW245,0,45,NA,NA,NA,NA
MW_lrep_MW245,45,95,NA,NA,NA,NA
MW_lrep_MW245,95,105,NA,NA,NA,NA
MW_lrep_MW246,0,15,82,NA,6.5,5.4
MW_lrep_MW246,15,35,66,NA,7.2,3
MW_lrep_MW246,35,94,NA,NA,NA,NA
MW_lrep_MW247,0,30,NA,NA,NA,NA
MW_lrep_MW247,30,45,NA,NA,NA,NA
MW_lrep_MW247,45,120,NA,NA,NA,NA
MW_lrep_MW248,0,20,NA,NA,NA,NA
MW_lrep_MW248,20,50,NA,NA,NA,NA
MW_lrep_MW248,50,75,NA,NA,NA,NA
MW_lrep_MW248,75,85,NA,NA,NA,NA
MW_lrep_MW249,0,15,NA,NA,NA,NA
MW_lrep_MW249,15,40,NA,NA,NA,NA
MW_lrep_MW249,40,100,NA,NA,NA,NA
MW_lrep_MW249,100,110,NA,NA,NA,NA
MW_lrep_MW25,0,20,NA,NA,NA,NA
MW_lrep_MW25,20,60,NA,NA,NA,NA
MW_lrep_MW25,60,90,NA,NA,NA,NA
MW_lrep_MW25,90,100,NA,NA,NA,NA
MW_lrep_MW250,0,25,NA,NA,NA,NA
MW_lrep_MW250,25,45,NA,NA,NA,NA
MW_lrep_MW250,45,55,NA,NA,NA,NA
MW_lrep_MW250A,0,10,NA,NA,NA,NA
MW_lrep_MW250A,10,35,NA,NA,NA,NA
MW_lrep_MW250A,35,45,NA,NA,NA,NA
MW_lrep_MW251,0,15,NA,NA,NA,NA
MW_lrep_MW251,15,25,NA,NA,NA,NA
MW_lrep_MW251,25,60,NA,NA,NA,NA
MW_lrep_MW251,60,85,NA,NA,NA,NA
MW_lrep_MW251,85,150,NA,NA,NA,NA
MW_lrep_MW251a,0,4,84,NA,7.1,12.5
MW_lrep_MW251a,4,20,78,NA,7.2,5.4
MW_lrep_MW251a,20,75,79,NA,7.1,3
MW_lrep_MW251a,75,100,NA,NA,NA,NA
MW_lrep_MW252,0,20,NA,NA,NA,NA
MW_lrep_MW252,20,50,NA,NA,NA,NA
MW_lrep_MW252,50,90,NA,NA,NA,NA
MW_lrep_MW253,0,30,NA,NA,NA,NA
MW_lrep_MW253,30,45,NA,NA,NA,NA
MW_lrep_MW253,45,60,NA,NA,NA,NA
MW_lrep_MW254,0,10,NA,NA,NA,NA
MW_lrep_MW254,10,30,NA,NA,NA,NA
MW_lrep_MW254,30,40,NA,NA,NA,NA
MW_lrep_MW255,0,20,NA,NA,NA,NA
MW_lrep_MW255,20,35,NA,NA,NA,NA
MW_lrep_MW255,35,60,NA,NA,NA,NA
MW_lrep_MW255,60,70,NA,NA,NA,NA
MW_lrep_MW256,0,40,NA,NA,NA,NA
MW_lrep_MW256,40,110,NA,NA,NA,NA
MW_lrep_MW257,0,20,NA,NA,NA,NA
MW_lrep_MW257,20,40,NA,NA,NA,NA
MW_lrep_MW257,40,70,NA,NA,NA,NA
MW_lrep_MW258,0,50,NA,NA,NA,NA
MW_lrep_MW258,50,80,NA,NA,NA,NA
MW_lrep_MW258,80,100,NA,NA,NA,NA
MW_lrep_MW259,0,30,NA,NA,NA,NA
MW_lrep_MW259,30,70,NA,NA,NA,NA
MW_lrep_MW259,70,110,NA,NA,NA,NA
MW_lrep_MW26,0,5,NA,NA,NA,NA
MW_lrep_MW26,5,20,NA,NA,NA,NA
MW_lrep_MW26,20,30,NA,NA,NA,NA
MW_lrep_MW260,0,20,NA,NA,NA,NA
MW_lrep_MW260,20,40,NA,NA,NA,NA
MW_lrep_MW260,40,60,NA,NA,NA,NA
MW_lrep_MW261,0,15,NA,NA,NA,NA
MW_lrep_MW261,15,30,NA,NA,NA,NA
MW_lrep_MW261,30,50,NA,NA,NA,NA
MW_lrep_MW261,50,60,NA,NA,NA,NA
MW_lrep_MW262,0,30,NA,NA,NA,NA
MW_lrep_MW262,30,50,NA,NA,NA,NA
MW_lrep_MW262,50,60,NA,NA,NA,NA
MW_lrep_MW263,0,20,NA,NA,NA,NA
MW_lrep_MW263,20,40,NA,NA,NA,NA
MW_lrep_MW264,0,15,NA,NA,NA,NA
MW_lrep_MW264,15,50,NA,NA,NA,NA
MW_lrep_MW264,50,60,NA,NA,NA,NA
MW_lrep_MW265,0,15,NA,NA,NA,NA
MW_lrep_MW265,15,75,NA,NA,NA,NA
MW_lrep_MW266,0,14,NA,NA,NA,NA
MW_lrep_MW266,14,38,NA,NA,NA,NA
MW_lrep_MW266,38,53,NA,NA,NA,NA
MW_lrep_MW266,53,79,NA,NA,NA,NA
MW_lrep_MW266,79,115,NA,NA,NA,NA
MW_lrep_MW267,0,15,NA,NA,NA,NA
MW_lrep_MW267,15,30,NA,NA,NA,NA
MW_lrep_MW267,30,60,NA,NA,NA,NA
MW_lrep_MW267,60,107,NA,NA,NA,NA
MW_lrep_MW268,0,15,NA,NA,NA,NA
MW_lrep_MW268,15,30,NA,NA,NA,NA
MW_lrep_MW268,30,60,NA,NA,NA,NA
MW_lrep_MW269,0,15,NA,NA,NA,NA
MW_lrep_MW269,15,35,NA,NA,NA,NA
MW_lrep_MW269,35,50,NA,NA,NA,NA
MW_lrep_MW269,50,100,NA,NA,NA,NA
MW_lrep_MW27,0,30,NA,NA,NA,NA
MW_lrep_MW27,30,40,NA,NA,NA,NA
MW_lrep_MW270,0,20,NA,NA,NA,NA
MW_lrep_MW270,20,45,NA,NA,NA,NA
MW_lrep_MW270,45,60,NA,NA,NA,NA
MW_lrep_MW271,0,20,77,NA,6.4,6
MW_lrep_MW271,20,50,79,NA,7.1,5.1
MW_lrep_MW271,50,150,85,NA,7.2,NA
